Date,weekday,weeknum,kosdaq,nasdaq,sp500,dow,kospi
2021-10-04,0,40,969.285,14255.5,4300.46,34003.58,2990.675
2021-10-05,1,40,955.37,14433.8,4345.72,34315.99,2962.17
2021-10-06,2,40,922.36,14501.9,4363.55,34417.98,2908.31
2021-10-07,3,40,953.43,14654.0,4399.76,34754.15,2959.46
2021-10-08,4,40,953.11,14579.5,4391.36,34746.71,2956.3
2021-10-11,0,41,946.63,14486.2,4361.19,34496.85,2936.34
2021-10-12,1,41,940.15,14465.9,4350.64,34378.08,2916.38
2021-10-13,2,41,953.47,14571.6,4363.8,34378.6,2944.41
2021-10-14,3,41,983.43,14823.4,4438.23,34911.7,2988.64
2021-10-15,4,41,990.54,14897.3,4471.37,35295.48,3015.06
2021-10-18,0,42,993.86,15021.8,4486.48,35259.01,3006.68
2021-10-19,1,42,1005.35,15129.1,4519.63,35458.37,3029.04
2021-10-20,2,42,1001.62,15121.7,4536.19,35609.93,3013.13
2021-10-21,3,42,993.7,15215.7,4549.78,35601.96,3007.33
2021-10-22,4,42,995.07,15090.2,4544.9,35677.68,3006.16
2021-10-25,0,43,994.31,15226.7,4566.48,35743.78,3020.54
2021-10-26,1,43,1011.76,15235.7,4574.79,35755.83,3049.08
2021-10-27,2,43,1008.95,15235.8,4551.68,35491.48,3025.49
2021-10-28,3,43,1000.13,15448.1,4596.42,35729.89,3009.55
2021-10-29,4,43,992.33,15498.4,4605.38,35819.59,2970.68
